Name,Address,City,State,Zip,Latitude,Longitude
West Elementary School,4051 15th St,Gulfport,MS,39501,30.36931018381430,-89.10983753314720
Gulfport Central Middle School,1310 42nd Ave,Gulfport,MS,39501,30.36761069581670,-89.11061969709400
Gulfport High School,100 Perry St,Gulfport,MS,39501,30.39135153959920,-89.04138778969360
Pass Road Elementary School,37 Pass Rd,Gulfport,MS,39501,30.39204338343770,-89.04971404366510
Bayou View Middle School,212 43rd St,Gulfport,MS,39507,30.40441328206690,-89.05557725953760
St James School,603 West Ave,Gulfport,MS,39507,30.38931986092910,-89.02572811234670
St. John Interparochial Elementary School,2415 17th St,Gulfport,MS,39501,30.37204751611140,-89.09276640678480
Temple Christian Academy,14190 Dedeaux Rd,Gulfport,MS,39503,30.53778468489720,-89.10810293683790
Christian Collegiate Academy,12200 Dedeaux Rd,Gulfport,MS,39503,30.45075335811520,-89.03919144725590
Harrison Co Child Development Center,94 29th St,Gulfport,MS,39507,30.38623293866430,-89.05085901656720
Wee Ones Child Care Center,11376 Three Rivers Rd,Gulfport,MS,39503,30.45072944868880,-89.07406591710500
Crossroads Elementary School,10453 Klein Rd,Gulfport,MS,39503,30.43865657846260,-89.08710108958360
Bel Aire Elementary School,10531 Klein Rd,Gulfport,MS,39503,30.44071007959460,-89.08715473376510
Bayou View Elementary School,4898 Washington Ave,Gulfport,MS,39507,30.41164993613400,-89.05243403562000
Central Elementary School,1043 Pass Rd,Gulfport,MS,39501,30.38572213955360,-89.07040804586530
Twenty Eighth St Elementary School,3034 46th Ave,Gulfport,MS,39501,30.38871331081010,-89.11578054911170
Anniston Avenue Elementary School,2314 Jones St,Gulfport,MS,39507,30.39234459186740,-89.01642877423970
Harrison Central Elementary School,15451 Dedeaux Rd,Gulfport,MS,39503,30.44977071787300,-89.10102263031310
Orange Grove Elementary School,11391 Old Hwy 49,Gulfport,MS,39503,30.45266152161630,-89.10503245652650
Three Rivers Elementary School,13500 Three Rivers Rd,Gulfport,MS,39503,30.48411729062520,-89.06835591656450
Harrison County Alternative School,11072 US 49,Gulfport,MS,39503,30.44406511708720,-89.09796978958350
North Gulfport Middle School,4715 Illinois Ave,Gulfport,MS,39501,30.40630335108730,-89.09990431656670
Hope Academy,1234 Alphabet Rd,Gulfport,MS,39503,30.45789343100620,-89.06013754378570
Kid Academy,918 E Pass Rd,Gulfport,MS,39507,30.39776635786950,-89.03340563168870
Learning Center,1215 Church St,Gulfport,MS,39507,30.39546698231060,-89.03164297106930
MWR Child Development Center,"300 Bdg 352 1706, Bainbridge Ave",Gulfport,MS,39501,30.37320409753570,-89.12490519131670
Gulfport School District: The Blue School,2507 21st Ave,Gulfport,MS,39501,30.38256814502200,-89.08794116855500
