Name,Address,City,State,Zip,Latitude,Longitude
Long Beach High School,300 E Old Pass Rd,Long Beach,MS,39560,30.35612015530790,-89.14702873576190
Long Beach Middle School,204 N Cleveland Ave,Long Beach,MS,39560,30.35967291095070,-89.15027869198500
Thomas L Reeves Elementary,214 St Augustine Dr,Long Beach,MS,39560,30.34648174283220,-89.17701815443860
Harper McCaughan Elementary School,19200 Pineville Rd,Long Beach,MS,39560,30.36336382393950,-89.16517357718280
W J Quarles Elementary School,111 Quarles St,Long Beach,MS,39560,30.37118650940640,-89.16838484703750
Coast Episcopal School,5065 Espy Ave,Long Beach,MS,39560,30.35629847898440,-89.20513977718280
St Vincent DE Paul Catholic School,4321 Espy Ave,Long Beach,MS,39560,30.34904697683230,-89.21271632321180
Pecan Park,801 S Forest Ave,Long Beach,MS,39560,30.35920114253360,-89.18445092376350
Parque Infantil Long Beach,W Railroad St,Long Beach,MS,39560,30.34770769551530,-89.17348069284740
War Memorial Park,Church Ave,Long Beach,MS,39560,30.35208089665380,-89.15309320187070
St Patrick City Park,N/A,Long Beach,MS,39560,30.34763680934210,-89.15978799538190
Harper McCaughan Town Green Pavilion,101-199 E 3rd St,Long Beach,MS,39560,30.35178463044560,-89.14983163580110
Long Beach Baseball Fields,Martin Ladner Blvd.,Long Beach,MS,39560,30.37382018759970,-89.18277076324280
Long Beach Ball Fields,788 Klondyke Rd,Long Beach,MS,39560,30.38399516948420,-89.15440379284740
Loving Care Montessori Center,644 E Railroad St,Long Beach,MS,39560,30.35947110354620,-89.13870162461490
Lighthouse Learning Center LLC,20175 28th St,Long Beach,MS,39560,30.38636080674160,-89.17536289501040
Memaw's Daycare,340 Seal Ave,Long Beach,MS,39560,30.35926628393300,-89.15886727010320
Rainbow Learning Center & Daycare,209 Klondyke Rd,Long Beach,MS,39560,30.35645192544040,-89.15251579933620
Kaptain Kidz Learning Center,19020 Pineville Rd,Long Beach,MS,39560,30.35719255394650,-89.15388909031290
KidFit After School Care & Summer Camp,2 Tower Plaza STE E,Long Beach,MS,39560,30.36356172762560,-89.16315880440530
Wittmann Learning Center LLC,533 Klondyke Rd,Long Beach,MS,39560,30.37037480308440,-89.15354576756870
